,operating_frequency,S11 (dB20),S21 (dB20),NF (dB10),Lg,Ls,Ld,W
24,2860000000,-38.17736957688328,10.97888301762881,2.086076951094994,3.666667e-09,7.222222e-10,4e-09,0.0002
25,2860000000,-27.51726422753023,10.7202652190492,2.105305983557595,3.666667e-09,7.777778e-10,4e-09,0.0002
26,2800000000,-23.15006718392472,10.06460393426763,2.073698142751917,3.666667e-09,8.333333e-10,4e-09,0.0002
27,2800000000,-20.46678033781706,9.821247940372745,2.092286473896197,3.666667e-09,8.888889e-10,4e-09,0.0002
28,2800000000,-18.47291464438537,9.584279940084128,2.111599167688862,3.666667e-09,9.444444e-10,4e-09,0.0002
29,2800000000,-16.91499700848323,9.3534103499453,2.131623115179929,3.666667e-09,1e-09,4e-09,0.0002
30,2800000000,-17.971690181101,11.69383574294626,1.982512875284483,4e-09,5e-10,4e-09,0.0002
31,2800000000,-20.99938314492345,11.39965765057294,1.998731304269801,4e-09,5.555556e-10,4e-09,0.0002
32,2740000000,-25.15459996676119,10.71485893233144,1.969754748039442,4e-09,6.111111e-10,4e-09,0.0002
33,2740000000,-33.27613398978048,10.44041818357686,1.98542130337522,4e-09,6.666667e-10,4e-09,0.0002
34,2740000000,-38.48177736051548,10.17399254730073,2.00180695117077,4e-09,7.222222e-10,4e-09,0.0002
35,2740000000,-27.74072583257723,9.915179619357732,2.01890047208836,4e-09,7.777778e-10,4e-09,0.0002
36,2740000000,-23.21331157121578,9.663602180556282,2.036690421583691,4e-09,8.333333e-10,4e-09,0.0002
37,2740000000,-20.38971071823558,9.418906756818402,2.055165147258067,4e-09,8.888889e-10,4e-09,0.0002
38,2680000000,-18.42691526546102,8.788064965352278,2.021584104250221,4e-09,9.444444e-10,4e-09,0.0002
39,2680000000,-16.906279842182,8.557211876085521,2.039271838829012,4e-09,1e-09,4e-09,0.0002
40,2680000000,-17.9910933061283,10.90254847290499,1.905982726240469,4.333333e-09,5e-10,4e-09,0.0002
41,2680000000,-21.1190963439618,10.60858183587722,1.920200469422249,4.333333e-09,5.555556e-10,4e-09,0.0002
42,2680000000,-25.54647045127602,10.32381287232909,1.935106326474907,4.333333e-09,6.111111e-10,4e-09,0.0002
43,2680000000,-32.92270981007621,10.04774199298077,1.950690449506149,4.333333e-09,6.666667e-10,4e-09,0.0002
44,2680000000,-33.58929300582997,9.779904120178372,1.966942770783946,4.333333e-09,7.222222e-10,4e-09,0.0002
45,2620000000,-27.37882917271706,9.139900059818318,1.935293328639844,4.333333e-09,7.777778e-10,4e-09,0.0002
46,2620000000,-23.23246894842666,8.888652163589747,1.950805370959148,4.333333e-09,8.333333e-10,4e-09,0.0002
47,2620000000,-20.47390555559583,8.644226025956335,1.966932864326091,4.333333e-09,8.888889e-10,4e-09,0.0002
48,2620000000,-18.46182332998173,8.406296553150735,1.983666480268387,4.333333e-09,9.444444e-10,4e-09,0.0002
49,2620000000,-16.90094939313661,8.1745587521384,2.000996733403548,4.333333e-09,1e-09,4e-09,0.0002
50,2620000000,-17.99693885940335,10.52195687794317,1.873148268076552,4.666667e-09,5e-10,4e-09,0.0002
51,2620000000,-20.97021716414653,10.22645613527715,1.88722045170011,4.666667e-09,5.555556e-10,4e-09,0.0002
52,2560000000,-25.25633306683086,9.57405753524271,1.857590586033353,4.666667e-09,6.111111e-10,4e-09,0.0002
53,2560000000,-33.44391352289512,9.298779193696117,1.870972643393589,4.666667e-09,6.666667e-10,4e-09,0.0002
54,2560000000,-38.18751373348271,9.03161133778525,1.884952579996564,4.666667e-09,7.222222e-10,4e-09,0.0002
55,2560000000,-27.69790565754096,8.772135724076936,1.899522422737125,4.666667e-09,7.777778e-10,4e-09,0.0002
56,2560000000,-23.20793852384095,8.519961902303468,1.914674031802868,4.666667e-09,8.333333e-10,4e-09,0.0002
57,2560000000,-20.39886320960656,8.274725317016363,1.930399111056091,4.666667e-09,8.888889e-10,4e-09,0.0002
58,2500000000,-18.38341491289092,7.681596668503397,1.897225748311398,4.666667e-09,9.444444e-10,4e-09,0.0002
59,2500000000,-16.8930882601028,7.450489001545336,1.912085610108015,4.666667e-09,1e-09,4e-09,0.0002
60,2500000000,-17.97851863288471,9.801026405292363,1.799383798493849,5e-09,5e-10,4e-09,0.0002
61,2500000000,-21.12046194859369,9.506829931863043,1.811274530043557,5e-09,5.555556e-10,4e-09,0.0002
62,2500000000,-25.64913760258809,9.221852577241188,1.823736131457411,5e-09,6.111111e-10,4e-09,0.0002
63,2500000000,-34.29851277397111,8.945588027513018,1.836761731057972,5e-09,6.666667e-10,4e-09,0.0002
64,2500000000,-36.61633761122041,8.677565862785535,1.850344295182961,5e-09,7.222222e-10,4e-09,0.0002
65,2500000000,-27.24523817410252,8.417348917596073,1.864476636832345,5e-09,7.777778e-10,4e-09,0.0002
66,2500000000,-22.95724322844826,8.164530746638203,1.879151424361627,5e-09,8.333333e-10,4e-09,0.0002
67,2440000000,-20.38500200379674,7.581006177806602,1.846080483896135,5e-09,8.888889e-10,4e-09,0.0002
68,2440000000,-18.45322184785484,7.34321131393275,1.859878569929633,5e-09,9.444444e-10,4e-09,0.0002
69,2440000000,-16.92719651170002,7.111576211147209,1.874177990961152,5e-09,1e-09,4e-09,0.0002
70,2440000000,-18.05707039786532,9.464210085663238,1.766939708815513,5.333333e-09,5e-10,4e-09,0.0002
71,2440000000,-21.18868283647058,9.169106963416455,1.778444413814033,5.333333e-09,5.555556e-10,4e-09,0.0002
72,2440000000,-25.62323721948678,8.883351230856348,1.790480909669013,5.333333e-09,6.111111e-10,4e-09,0.0002
73,2440000000,-33.01570525313492,8.606416993732505,1.803043034870184,5.333333e-09,6.666667e-10,4e-09,0.0002
74,2440000000,-33.61664078546145,8.337817464555101,1.816124486823215,5.333333e-09,7.222222e-10,4e-09,0.0002
75,2380000000,-26.82439672485767,7.753779231720151,1.78487653629468,5.333333e-09,7.777778e-10,4e-09,0.0002
76,2380000000,-23.09364077805719,7.502226903542068,1.797110282593404,5.333333e-09,8.333333e-10,4e-09,0.0002
77,2380000000,-20.44993168375496,7.257521592769524,1.809824200070336,5.333333e-09,8.888889e-10,4e-09,0.0002
78,2380000000,-18.48085582128299,7.019331574561017,1.8230125317289,5.333333e-09,9.444444e-10,4e-09,0.0002
79,2380000000,-16.93925647149195,6.787346404656204,1.836669412691412,5.333333e-09,1e-09,4e-09,0.0002
80,2380000000,-18.08059491619595,9.141562971052329,1.734956247179354,5.666667e-09,5e-10,4e-09,0.0002
81,2380000000,-21.18091529402684,8.84588152777861,1.745979959727576,5.666667e-09,5.555556e-10,4e-09,0.0002
82,2380000000,-25.48068919482255,8.559631325816094,1.757499424574809,5.666667e-09,6.111111e-10,4e-09,0.0002
83,2380000000,-31.86540495192148,8.28227312100424,1.769509154737731,5.666667e-09,6.666667e-10,4e-09,0.0002
84,2380000000,-32.00010573327103,8.01330901773005,1.782003539513431,5.666667e-09,7.222222e-10,4e-09,0.0002
85,2320000000,-27.02629083143664,7.445468060192394,1.750260629327086,5.666667e-09,7.777778e-10,4e-09,0.0002
86,2320000000,-23.15389532809059,7.193623139745952,1.761878096963058,5.666667e-09,8.333333e-10,4e-09,0.0002
87,2320000000,-20.47393941528555,6.94866014665873,1.773944122168456,5.666667e-09,8.888889e-10,4e-09,0.0002
88,2320000000,-18.49292941205028,6.710242143621608,1.786453604701605,5.666667e-09,9.444444e-10,4e-09,0.0002
89,2320000000,-16.94687422462381,6.478054260929738,1.799401348478441,5.666667e-09,1e-09,4e-09,0.0002
90,2320000000,-18.08893818479448,8.833650805791699,1.703230389029772,6e-09,5e-10,4e-09,0.0002
91,2320000000,-21.17392450567724,8.537659373132922,1.713695037475987,6e-09,5.555556e-10,4e-09,0.0002
92,2320000000,-25.41737566902396,8.25114475724628,1.724622143689899,6e-09,6.111111e-10,4e-09,0.0002
93,2320000000,-31.48261958053651,7.973559864558432,1.73600685405984,6e-09,6.666667e-10,4e-09,0.0002
94,2320000000,-31.54821352194692,7.704400316265135,1.74784420582963,6e-09,7.222222e-10,4e-09,0.0002
95,2260000000,-26.96101414099277,7.151277446724061,1.716087336004021,6e-09,7.777778e-10,4e-09,0.0002
96,2260000000,-23.13982155743886,6.899333880979414,1.727029096023715,6e-09,8.333333e-10,4e-09,0.0002
97,2260000000,-20.47504245539182,6.654283544789071,1.738390113231591,6e-09,8.888889e-10,4e-09,0.0002
98,2260000000,-18.50002688955194,6.415787224228945,1.750165897177128,6e-09,9.444444e-10,4e-09,0.0002
99,2260000000,-16.95679894481188,6.183528153415415,1.762351871787939,6e-09,1e-09,4e-09,0.0002
100,3160000000,-18.03666700823415,14.61629941013149,2.220379956455505,3e-09,5e-10,4.444444e-09,0.0002
101,3160000000,-21.07800939168527,14.32842017235902,2.241365275269698,3e-09,5.555556e-10,4.444444e-09,0.0002
102,3100000000,-25.22050714734728,14.06685891266284,2.213658881469884,3e-09,6.111111e-10,4.444444e-09,0.0002
103,3100000000,-33.58797360715077,13.79688307507104,2.234459653597177,3e-09,6.666667e-10,4.444444e-09,0.0002
104,3100000000,-39.0789001581018,13.53456514885111,2.256259593800512,3e-09,7.222222e-10,4.444444e-09,0.0002
105,3100000000,-27.73996580980728,13.27954814144157,2.279037982170655,3e-09,7.777778e-10,4.444444e-09,0.0002
106,3040000000,-23.43605897550823,12.93697699821844,2.248171487226026,3e-09,8.333333e-10,4.444444e-09,0.0002
107,3040000000,-20.64472745517025,12.6962288930535,2.270511466340812,3e-09,8.888889e-10,4.444444e-09,0.0002
108,3040000000,-18.59729703993948,12.46169423792451,2.293743023332263,3e-09,9.444444e-10,4.444444e-09,0.0002
109,3040000000,-17.00808130457919,12.23310341621157,2.317846689717969,3e-09,1e-09,4.444444e-09,0.0002
110,3040000000,-17.88122063351469,14.54468844767541,2.138077744292322,3.333333e-09,5e-10,4.444444e-09,0.0002
111,2980000000,-20.82458875041138,14.06825018828745,2.110380413431977,3.333333e-09,5.555556e-10,4.444444e-09,0.0002
112,2980000000,-25.20434471639376,13.78776785168895,2.128685961580691,3.333333e-09,6.111111e-10,4.444444e-09,0.0002
113,2980000000,-33.28299518720328,13.51556848732971,2.147900934716078,3.333333e-09,6.666667e-10,4.444444e-09,0.0002
114,2980000000,-37.68599824360385,13.25124341493733,2.168008616687596,3.333333e-09,7.222222e-10,4.444444e-09,0.0002
115,2920000000,-27.72659575005741,12.72770853630636,2.137604017462965,3.333333e-09,7.777778e-10,4.444444e-09,0.0002
116,2920000000,-23.50166709381462,12.47890011167119,2.157206065423741,3.333333e-09,8.333333e-10,4.444444e-09,0.0002
117,2920000000,-20.67097546939397,12.23672022861544,2.177624537478228,3.333333e-09,8.888889e-10,4.444444e-09,0.0002
118,2920000000,-18.61105946939457,12.00086888562493,2.198843720659514,3.333333e-09,9.444444e-10,4.444444e-09,0.0002
119,2920000000,-17.01736986288152,11.77106264303645,2.220847665289432,3.333333e-09,1e-09,4.444444e-09,0.0002
120,2920000000,-17.81905603356631,14.0960555400884,2.057703410928239,3.666667e-09,5e-10,4.444444e-09,0.0002
121,2860000000,-20.79229159612862,13.48256881678615,2.029456425782969,3.666667e-09,5.555556e-10,4.444444e-09,0.0002
122,2860000000,-25.16283316231505,13.20054842544719,2.046040260774594,3.666667e-09,6.111111e-10,4.444444e-09,0.0002
123,2860000000,-33.29162158674434,12.92694493317478,2.063435670615751,3.666667e-09,6.666667e-10,4.444444e-09,0.0002
124,2860000000,-38.5188492512702,12.66133185710574,2.081629128341078,3.666667e-09,7.222222e-10,4.444444e-09,0.0002
125,2860000000,-27.74930688277029,12.40330898221725,2.10060682314715,3.666667e-09,7.777778e-10,4.444444e-09,0.0002
126,2800000000,-23.3992691890587,11.78909750011854,2.068698355425271,3.666667e-09,8.333333e-10,4.444444e-09,0.0002
127,2800000000,-20.63696239535938,11.54611710372824,2.087021906988613,3.666667e-09,8.888889e-10,4.444444e-09,0.0002
128,2800000000,-18.60239503564271,11.30951388675046,2.106064763999883,3.666667e-09,9.444444e-10,4.444444e-09,0.0002
129,2800000000,-17.02019391783652,11.07899824201234,2.125814060947952,3.666667e-09,1e-09,4.444444e-09,0.0002
130,2800000000,-17.8522437292023,13.41474171741827,1.978999136770996,4e-09,5e-10,4.444444e-09,0.0002
131,2800000000,-20.81221743775196,13.1210853294208,1.994986412525963,4e-09,5.555556e-10,4.444444e-09,0.0002
132,2740000000,-24.9576014953241,12.45104254578293,1.965742372777255,4e-09,6.111111e-10,4.444444e-09,0.0002
133,2740000000,-32.85605481769947,12.17689363413615,1.981163714560772,4e-09,6.666667e-10,4.444444e-09,0.0002
134,2740000000,-40.01614787036259,11.91075606486691,1.997298103712269,4e-09,7.222222e-10,4.444444e-09,0.0002
135,2740000000,-28.08470942033349,11.65222641292949,2.014134550912238,4e-09,7.777778e-10,4.444444e-09,0.0002
136,2740000000,-23.40858878723715,11.40092671381209,2.031661843493213,4e-09,8.333333e-10,4.444444e-09,0.0002
137,2740000000,-20.52836230229744,11.15650296411158,2.049868562322327,4e-09,8.888889e-10,4.444444e-09,0.0002
138,2680000000,-18.54534050110637,10.51916807624264,2.015963354433322,4e-09,9.444444e-10,4.444444e-09,0.0002
139,2680000000,-17.00251456839328,10.28846694941595,2.033369209740679,4e-09,1e-09,4.444444e-09,0.0002
140,2680000000,-17.8786599879321,12.63182261004378,1.902427867072367,4.333333e-09,5e-10,4.444444e-09,0.0002
141,2680000000,-20.95270785051763,12.33804285787384,1.916410377703783,4.333333e-09,5.555556e-10,4.444444e-09,0.0002
142,2680000000,-25.25386000164845,12.05346425051324,1.931074474664566,4.333333e-09,6.111111e-10,4.444444e-09,0.0002
143,2680000000,-32.19051887956604,11.77758532953436,1.946410526721017,4.333333e-09,6.666667e-10,4.444444e-09,0.0002
144,2620000000,-33.88927651176075,11.1082377764042,1.915835908928243,4.333333e-09,7.222222e-10,4.444444e-09,0.0002
145,2620000000,-27.72157247385645,10.84990071446134,1.930460909345909,4.333333e-09,7.777778e-10,4.444444e-09,0.0002
146,2620000000,-23.43017020098202,10.59873681016334,1.945704489435715,4.333333e-09,8.333333e-10,4.444444e-09,0.0002
147,2620000000,-20.61095467133123,10.35439832183354,1.961557704414017,4.333333e-09,8.888889e-10,4.444444e-09,0.0002
148,2620000000,-18.56687379792135,10.11655915136059,1.978011441889201,4.333333e-09,9.444444e-10,4.444444e-09,0.0002
149,2620000000,-16.98644169392482,9.884913480773529,1.995056433777628,4.333333e-09,1e-09,4.444444e-09,0.0002
150,2620000000,-17.87479459356053,12.23106317529409,1.869576871642089,4.666667e-09,5e-10,4.444444e-09,0.0002
151,2620000000,-20.79440733577874,11.93566403117913,1.883411249058277,4.666667e-09,5.555556e-10,4.444444e-09,0.0002
152,2560000000,-25.05554649323899,11.25425672078551,1.853508456183983,4.666667e-09,6.111111e-10,4.444444e-09,0.0002
153,2560000000,-33.00353234848497,10.97898612478266,1.86663804241126,4.666667e-09,6.666667e-10,4.444444e-09,0.0002
154,2560000000,-39.36262495249,10.71183580416694,1.880358980960426,4.666667e-09,7.222222e-10,4.444444e-09,0.0002
155,2560000000,-27.99602218171719,10.45238573803255,1.894663500397898,4.666667e-09,7.777778e-10,4.444444e-09,0.0002
156,2560000000,-23.37729216188597,10.20024400095055,1.909543664886461,4.666667e-09,8.333333e-10,4.444444e-09,0.0002
157,2560000000,-20.51791266520981,9.955044810355057,1.924991384211209,4.666667e-09,8.888889e-10,4.444444e-09,0.0002
158,2560000000,-18.47503499757898,9.716446647600003,1.940998423815096,4.666667e-09,9.444444e-10,4.444444e-09,0.0002
159,2500000000,-16.96651703428351,9.095392071469014,1.906052965851237,4.666667e-09,1e-09,4.444444e-09,0.0002
160,2500000000,-17.88030294583905,11.44604190898854,1.795771503255551,5e-09,5e-10,4.444444e-09,0.0002
161,2500000000,-20.98176107634831,11.1517810663959,1.807420997417304,5e-09,5.555556e-10,4.444444e-09,0.0002
162,2500000000,-25.417153062068,10.86675480454747,1.81963436415919,5e-09,6.111111e-10,4.444444e-09,0.0002
163,2500000000,-33.66165111263622,10.59045432209108,1.832404919454123,5e-09,6.666667e-10,4.444444e-09,0.0002
164,2500000000,-37.09657847813934,10.32240712897469,1.845725820200063,5e-09,7.222222e-10,4.444444e-09,0.0002
165,2500000000,-27.47283263091931,10.06217433089008,1.859590072539397,5e-09,7.777778e-10,4.444444e-09,0.0002
166,2500000000,-23.09908926952621,9.809348034003287,1.873990540224146,5e-09,8.333333e-10,4.444444e-09,0.0002
167,2440000000,-20.49132704340659,9.187218048624889,1.840595010010522,5e-09,8.888889e-10,4.444444e-09,0.0002
168,2440000000,-18.53556715211125,8.949381227516074,1.854103822807949,5e-09,9.444444e-10,4.444444e-09,0.0002
169,2440000000,-16.99416544272851,8.717711275063918,1.868107932307586,5e-09,1e-09,4.444444e-09,0.0002
170,2440000000,-17.9588037028389,11.07077044155011,1.76331146352831,5.333333e-09,5e-10,4.444444e-09,0.0002
171,2440000000,-21.05007124103999,10.77556816949484,1.774572690053859,5.333333e-09,5.555556e-10,4.444444e-09,0.0002
172,2440000000,-25.39424460938485,10.48972934429541,1.786358617897936,5.333333e-09,6.111111e-10,4.444444e-09,0.0002
173,2440000000,-32.51460300449902,10.21272568991558,1.798663264736192,5.333333e-09,6.666667e-10,4.444444e-09,0.0002
174,2440000000,-33.78598441369363,9.944068422981246,1.811480509989332,5.333333e-09,7.222222e-10,4.444444e-09,0.0002
175,2380000000,-27.03557498426987,9.319999115568248,1.779924609084066,5.333333e-09,7.777778e-10,4.444444e-09,0.0002
176,2380000000,-23.23100761159308,9.068366077203748,1.791878984376298,5.333333e-09,8.333333e-10,4.444444e-09,0.0002
177,2380000000,-20.5478503842264,8.82358983731358,1.804306977391712,5.333333e-09,8.888889e-10,4.444444e-09,0.0002
178,2380000000,-18.55625920065346,8.58533746680405,1.817203011169741,5.333333e-09,9.444444e-10,4.444444e-09,0.0002
179,2380000000,-17.00041695132042,8.353297483008019,1.830561402768318,5.333333e-09,1e-09,4.444444e-09,0.0002
180,2380000000,-17.98582983513669,10.70818037473583,1.731311425138036,5.666667e-09,5e-10,4.444444e-09,0.0002
181,2380000000,-21.04857376519121,10.4123732685626,1.742089574211146,5.666667e-09,5.555556e-10,4.444444e-09,0.0002
182,2380000000,-25.26877747936751,10.12601384207656,1.753356278300288,5.666667e-09,6.111111e-10,4.444444e-09,0.0002
183,2380000000,-31.49083663110718,9.848560563015456,1.765106221056332,5.666667e-09,6.666667e-10,4.444444e-09,0.0002
184,2380000000,-32.10243494064181,9.5795136072143,1.777333965184329,5.666667e-09,7.222222e-10,4.444444e-09,0.0002
185,2320000000,-27.22565910263278,8.971351711411028,1.745281963446428,5.666667e-09,7.777778e-10,4.444444e-09,0.0002
186,2320000000,-23.28080123466802,8.719410195958426,1.756617436191659,5.666667e-09,8.333333e-10,4.444444e-09,0.0002
187,2320000000,-20.56395637048315,8.474360604575985,1.768394762956671,5.666667e-09,8.888889e-10,4.444444e-09,0.0002
188,2320000000,-18.56211355752286,8.235864835238878,1.780609014966783,5.666667e-09,9.444444e-10,4.444444e-09,0.0002
189,2320000000,-17.00291376487562,8.003607009238538,1.793255169558985,5.666667e-09,1e-09,4.444444e-09,0.0002
190,2320000000,-17.99931198682257,10.36005588116056,1.699568766809176,6e-09,5e-10,4.444444e-09,0.0002
191,2320000000,-21.04987291628948,10.06391855508389,1.709785914844994,6e-09,5.555556e-10,4.444444e-09,0.0002
192,2320000000,-25.22263064235877,9.777274726168375,1.720458201690727,6e-09,6.111111e-10,4.444444e-09,0.0002
193,2320000000,-31.16717812753595,9.49957509368472,1.731580935762402,6e-09,6.666667e-10,4.444444e-09,0.0002
194,2260000000,-31.68240906432396,8.896726058802228,1.700840835350455,6e-09,7.222222e-10,4.444444e-09,0.0002
195,2260000000,-27.13996497519384,8.637405948038154,1.711081468904495,6e-09,7.777778e-10,4.444444e-09,0.0002
196,2260000000,-23.255802862022,8.38535395697426,1.721738733864032,6e-09,8.333333e-10,4.444444e-09,0.0002
197,2260000000,-20.55769701699599,8.140205304667969,1.732808390170596,6e-09,8.888889e-10,4.444444e-09,0.0002
198,2260000000,-18.56361572284411,7.90161965006636,1.744286110248601,6e-09,9.444444e-10,4.444444e-09,0.0002
199,2260000000,-17.00828657861156,7.669279247075,1.756167482908446,6e-09,1e-09,4.444444e-09,0.0002
200,3160000000,-18.25018176990221,14.54875816891108,2.217870300546915,3e-09,5e-10,4.888889e-09,0.0002
201,3160000000,-21.33077480440388,14.2622339681734,2.2386949451544,3e-09,5.555556e-10,4.888889e-09,0.0002
202,3100000000,-25.63011575496755,14.28953902318851,2.210799866662518,3e-09,6.111111e-10,4.888889e-09,0.0002
203,3100000000,-34.4938586453551,14.02090691959091,2.231430584904713,3e-09,6.666667e-10,4.888889e-09,0.0002
204,3100000000,-37.16839861808068,13.75983995608696,2.253056752432359,3e-09,7.222222e-10,4.888889e-09,0.0002
205,3040000000,-27.57001452678082,13.69954627149467,2.223330283546401,3e-09,7.777778e-10,4.888889e-09,0.0002
206,3040000000,-23.40146660376326,13.45346205910942,2.244576470171518,3e-09,8.333333e-10,4.888889e-09,0.0002
207,3040000000,-20.60238167474091,13.21380620925208,2.266730057060272,3e-09,8.888889e-10,4.888889e-09,0.0002
208,3040000000,-18.56037920965208,12.98030019886313,2.289772054538224,3e-09,9.444444e-10,4.888889e-09,0.0002
209,2980000000,-17.01915870526418,12.82739276048751,2.256758046246374,3e-09,1e-09,4.888889e-09,0.0002
210,3040000000,-17.99545701663064,15.05093834411783,2.135537076611888,3.333333e-09,5e-10,4.888889e-09,0.0002
211,2980000000,-20.9522827095124,14.84466323230292,2.107653870085146,3.333333e-09,5.555556e-10,4.888889e-09,0.0002
212,2980000000,-25.34771565577915,14.56567836053074,2.125789380911998,3.333333e-09,6.111111e-10,4.888889e-09,0.0002
213,2980000000,-33.2453397995539,14.29488448655093,2.144830168884913,3.333333e-09,6.666667e-10,4.888889e-09,0.0002
214,2980000000,-36.10434325572157,14.03188039176198,2.164759714688377,3.333333e-09,7.222222e-10,4.888889e-09,0.0002
215,2920000000,-28.01592963573425,13.74085566976168,2.134142270638919,3.333333e-09,7.777778e-10,4.888889e-09,0.0002
216,2920000000,-23.60876886305105,13.49310192451816,2.153556511380259,3.333333e-09,8.333333e-10,4.888889e-09,0.0002
217,2920000000,-20.73250766318775,13.25192186671702,2.173783528755481,3.333333e-09,8.888889e-10,4.888889e-09,0.0002
218,2920000000,-18.65585214720052,13.01701924953216,2.194807801931147,3.333333e-09,9.444444e-10,4.888889e-09,0.0002
219,2860000000,-17.06081272227838,12.64487271534364,2.161314312483329,3.333333e-09,1e-09,4.888889e-09,0.0002
220,2920000000,-17.82421637288187,15.10092679511107,2.055131739395121,3.666667e-09,5e-10,4.888889e-09,0.0002
221,2860000000,-20.79218971623243,14.67497098688017,2.026695901649173,3.666667e-09,5.555556e-10,4.888889e-09,0.0002
222,2860000000,-25.11552293916941,14.39410761641276,2.043106025248884,3.666667e-09,6.111111e-10,4.888889e-09,0.0002
223,2860000000,-32.91401724465843,14.121599904429,2.060323327969876,3.666667e-09,6.666667e-10,4.888889e-09,0.0002
224,2860000000,-37.59038057870185,13.85702539795228,2.078334465140796,3.666667e-09,7.222222e-10,4.888889e-09,0.0002
225,2800000000,-27.80074197500446,13.37268177108062,2.047595204881306,3.666667e-09,7.777778e-10,4.888889e-09,0.0002
226,2800000000,-23.61213048025927,13.12374942300369,2.064994381178166,3.666667e-09,8.333333e-10,4.888889e-09,0.0002
227,2800000000,-20.77401709265469,12.88146918610579,2.083121569970705,3.666667e-09,8.888889e-10,4.888889e-09,0.0002
228,2800000000,-18.7045274587249,12.64553555848149,2.101964292295361,3.666667e-09,9.444444e-10,4.888889e-09,0.0002
229,2800000000,-17.10288912508438,12.41566054866675,2.121509862005737,3.666667e-09,1e-09,4.888889e-09,0.0002
230,2800000000,-17.78906700972879,14.74281755917365,1.976396842089624,4e-09,5e-10,4.888889e-09,0.0002
231,2800000000,-20.68725798899002,14.45018298072454,1.99221279592855,4e-09,5.555556e-10,4.888889e-09,0.0002
232,2740000000,-24.84986772755965,13.87530582970674,1.962770452731333,4e-09,6.111111e-10,4.888889e-09,0.0002
233,2740000000,-32.61727812256125,13.60182196020145,1.978010012630074,4e-09,6.666667e-10,4.888889e-09,0.0002
234,2740000000,-41.43091291102894,13.33632194750038,1.993958120003452,4e-09,7.222222e-10,4.888889e-09,0.0002
235,2740000000,-28.33950458908637,13.07840339244831,2.010603954736897,4e-09,7.777778e-10,4.888889e-09,0.0002
236,2740000000,-23.55540210128389,12.82768941968714,2.027936474782988,4e-09,8.333333e-10,4.888889e-09,0.0002
237,2680000000,-20.65641063260173,12.23933784042416,1.995233317697645,4e-09,8.888889e-10,4.888889e-09,0.0002
238,2680000000,-18.66826533313684,12.00293855904586,2.01179873455507,4e-09,9.444444e-10,4.888889e-09,0.0002
239,2680000000,-17.10139950277105,11.77260103553884,2.028995487925626,4e-09,1e-09,4.888889e-09,0.0002
